city,lat,lon,temp,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,clouds,weather,sunrise,sunset,timestamp
Windhoek,-22.5594,17.0832,28.39,26.97,28.39,28.39,1010,18,3.89,72,broken clouds,1767672816,1767721249,1767695783
Swakopmund,-22.6833,14.5333,19.65,19.71,19.65,19.65,1013,78,4.36,51,broken clouds,1767673413,1767721876,1767695858
Walvis Bay,-22.9575,14.5053,22.16,22.1,22.16,22.16,1013,64,5.37,50,scattered clouds,1767673387,1767721916,1767695859
Arandis,-22.4167,14.9667,25.61,25.27,25.61,25.61,1012,40,3.4,52,broken clouds,1767673341,1767721740,1767695860
Usakos,-22.0,15.6,29.36,27.83,29.36,29.36,1010,23,1.49,60,broken clouds,1767673239,1767721538,1767695861
Omaruru,-21.4333,15.9333,29.36,27.73,29.36,29.36,1010,20,2.26,40,scattered clouds,1767673226,1767721391,1767695862
Henties Bay,-22.116,14.2845,21.1,21.09,21.1,21.1,1013,70,4.58,44,scattered clouds,1767673541,1767721868,1767695863
Oshakati,-17.7833,15.6833,28.29,27.31,28.29,28.29,1011,30,2.74,0,clear sky,1767673707,1767721030,1767695863
Ongwediva,-17.7833,15.7667,28.39,27.39,28.39,28.39,1011,30,2.82,0,clear sky,1767673687,1767721010,1767695864
Ompundja,-17.9115,15.7014,28.06,27.19,28.06,28.06,1011,31,2.91,0,clear sky,1767673688,1767721040,1767695865
Eenhana,-17.4667,16.3333,30.92,29.33,30.92,30.92,1010,26,2.85,0,clear sky,1767673586,1767720839,1767695866
Helao Nafidi,-17.4247,15.8925,29.92,28.75,29.92,29.92,1010,31,2.61,0,clear sky,1767673696,1767720940,1767695866
Tsandi,-17.7463,14.8866,29.2,28.38,29.2,29.2,1010,35,2.7,0,clear sky,1767673902,1767721218,1767695869
Okahao,-17.885,15.0667,28.82,27.9,28.82,28.82,1010,33,2.93,0,clear sky,1767673843,1767721190,1767695870
Tsumeb,-19.2333,17.7167,30.58,28.76,30.58,30.58,1009,21,5.4,0,clear sky,1767673054,1767720707,1767695871
Oniipa,-17.9141,16.0424,28.49,27.41,28.49,28.49,1011,29,2.83,0,clear sky,1767673606,1767720959,1767695873
Otjiwarongo,-20.4637,16.6477,29.56,27.79,29.56,29.56,1010,14,4.48,0,clear sky,1767673169,1767721105,1767695874
Grootfontein,-19.5667,18.1167,30.3,28.43,30.3,30.3,1009,18,3.68,0,clear sky,1767672920,1767720649,1767695874
Okakarara,-20.5833,17.4333,31.21,29.14,31.21,31.21,1009,16,1.93,0,clear sky,1767672966,1767720931,1767695875
Opuwo,-18.0607,13.84,29.17,28.08,29.17,29.17,1011,31,3.46,7,clear sky,1767674118,1767721504,1767695876
Khorixas,-20.3667,14.9667,28.64,27.1,28.64,28.64,1011,14,2.77,20,few clouds,1767673584,1767721498,1767695877
Katima Mulilo,-17.5,24.2667,31.06,30.71,31.06,31.06,1009,38,2.28,69,broken clouds,1767671677,1767718938,1767695878
Kongola,9.0665,-10.1959,28.67,29.24,28.67,28.67,1013,50,1.85,99,overcast clouds,1767682672,1767724491,1767695879
Rundu,-17.9333,19.7667,33.21,30.84,33.21,33.21,1008,14,3.29,0,clear sky,1767672709,1767720067,1767695880
Mariental,-24.6333,17.9667,30.62,28.65,30.62,30.62,1010,16,2.45,30,scattered clouds,1767672349,1767721291,1767695883
Rehoboth,-23.3167,17.0833,29.59,27.85,29.59,29.59,1010,17,3.87,56,broken clouds,1767672724,1767721341,1767695884
Gibeon,37.9724,-76.6197,4.4,2.7,4.4,4.4,1015,94,1.97,100,overcast clouds,1767702162,1767736894,1767695884
Keetmanshoop,-26.5833,18.1333,30.82,28.79,30.82,30.82,1010,11,4.42,25,scattered clouds,1767672061,1767721500,1767695885
Lüderitz,-26.6481,15.1594,24.52,24.49,24.52,24.52,1012,56,10.26,3,clear sky,1767672767,1767722222,1767695886
Oranjemund,-28.55,16.4333,23.26,23.26,23.26,23.26,1014,62,5.72,6,clear sky,1767672209,1767722168,1767695886
Karasburg,-28.0167,18.75,28.81,27.23,28.81,28.81,1011,15,4.39,53,broken clouds,1767671724,1767721541,1767695887
Gobabis,-22.45,18.9667,30.43,28.53,30.43,30.43,1008,18,1.46,44,scattered clouds,1767672377,1767720784,1767695888
Leonardville,39.3644,-96.8589,3.49,-0.51,3.49,3.49,1008,73,4.91,1,clear sky,1767707252,1767741521,1767695889
Witvlei,-22.4,18.4833,29.78,28.04,29.78,29.78,1009,19,1.54,54,broken clouds,1767672499,1767720894,1767695890
